date,value
2018-01-01,4163123.516283043
2018-01-02,4851062.594081636
2018-01-03,4614137.509879264
2018-01-07,5910981.750440903
2018-01-08,6070109.3760492485
2018-01-09,6120309.250614858
2018-01-13,8074112.066987845
2018-01-14,6426995.856716862
2018-01-15,7212881.3285015505
2018-01-19,7614246.541259727
2018-01-20,7618473.802727302
2018-01-21,7527797.837592915
2018-01-25,8054642.61562692
2018-01-26,8145663.286958257
2018-01-27,8150007.9624877935
2018-01-31,8771983.198967837
2018-02-01,8119614.997935821
2018-02-02,6952264.751666798
2018-02-06,8704934.228574643
2018-02-07,7584682.4001063425
2018-02-08,6826452.855184522
2018-02-12,8763031.265682781
2018-02-13,6950228.127349326
2018-02-14,6834541.577207682
2018-02-18,8578117.508789804
2018-02-19,7671394.938673681
2018-02-20,6929875.216250127
2018-02-24,8213111.443648581
2018-02-25,7500471.035861977
2018-02-26,4417572.1248216545
2018-03-02,7959733.671793519
2018-03-03,7007345.172208974
2018-03-04,7418733.00637991
2018-03-08,8141319.552421865
2018-03-09,6324743.966777088
2018-03-10,6215372.595859441
2018-03-14,8002817.457224184
2018-03-15,6848706.200583409
2018-03-16,7521488.070218044
2018-03-20,7665036.547461815
2018-03-21,6190093.72316953
2018-03-22,7198415.305092856
2018-03-26,9001509.738183305
2018-03-27,7464796.916376928
2018-03-28,7136551.744861622
2018-04-01,8675944.594559235
2018-04-02,6178440.667420945
2018-04-03,6834541.577207682
2018-04-07,3513901.591681382
2018-04-08,7987727.388030233
2018-04-09,6810287.084650707
2018-04-13,8024394.760530163
2018-04-14,7473184.6116498485
2018-04-15,7807550.164911951
2018-04-19,7320712.122552189
2018-04-20,6324743.966777088
2018-04-21,6763897.250850682
2018-04-25,8048157.041488588
2018-04-26,6428968.763238661
2018-04-27,6838587.397029884
2018-05-01,9267747.405851932
2018-05-02,7235637.476601127
2018-05-03,6864908.923213939
2018-05-07,6911578.329187834
2018-05-08,8078441.204058968
2018-05-09,8518310.497317014
2018-05-13,9470066.644953782
2018-05-14,6452662.820283553
2018-05-15,9361788.980030565
2018-05-19,8895448.396229554
2018-05-20,7610020.232776265
2018-05-21,8339910.7354613915
2018-05-25,9249442.812731119
2018-05-26,6639488.75076198
2018-05-27,7062602.003122234
2018-05-31,9718453.577754263
2018-06-01,8150007.9624877935
2018-06-02,8722793.521017851
2018-06-06,8531586.255446646
2018-06-07,8337717.859291068
2018-06-08,8852717.553455818
2018-06-12,9606704.654437473
2018-06-13,8202217.432068339
2018-06-14,8516098.687380891
2018-06-18,9135372.393105544
2018-06-19,8108771.5470712455
2018-06-20,8128293.995713861
2018-06-24,8718327.304212919
2018-06-25,7612133.267888776
2018-06-26,9069475.202980936
2018-06-30,9026406.297368927
2018-07-01,8074112.066987845
2018-07-02,8496202.897498474
2018-07-06,10287428.985298308
2018-07-07,7839602.162388349
2018-07-08,8899951.240227677
2018-07-12,8017919.091925325
2018-07-13,7173643.858133421
2018-07-18,8671488.137448596
2018-07-19,8156526.7399382545
2018-07-20,8662578.013346117
2018-07-24,8445444.010185381
2018-07-25,7169518.656003443
2018-07-26,7987727.388030233
2018-07-30,8383817.427615181
2018-07-31,7888852.089538466
2018-08-01,8050318.663769936
2018-08-05,8033032.288042004
2018-08-06,6139661.5876037
2018-08-07,7567809.583937838
2018-08-11,6909546.554633879
2018-08-12,6816347.424310263
2018-08-13,6326704.065141049
2018-08-17,5893830.228558192
2018-08-18,5355734.028588378
2018-08-19,5359398.460963084
2018-08-23,5640864.271192927
2018-08-24,5640864.271192927
2018-08-25,4432830.004156551
2018-08-30,4863387.422117495
2018-08-31,4116921.7755953227
2018-09-04,4365180.89817313
2018-09-05,4905740.345506446
2018-09-06,4752921.854957877
2018-09-10,4446410.496105598
2018-09-11,2943067.443916118
2018-09-12,3658658.88711453
2018-09-16,3441649.8105355734
2018-09-17,4178018.5244800323
2018-09-18,3603901.892143185
2018-09-22,4227824.463350459
2018-09-23,2110779.3232189487
2018-09-28,2702997.7007303713
2018-09-29,2803661.2077455656
2018-09-30,2750346.9476735448
2018-10-04,1991691.9311174164
2018-10-05,2196824.859233529
2018-10-06,2348124.057692305
2018-10-10,5471652.0132994205
2018-10-11,3961730.7497855453
2018-10-12,3697976.1174706714
2018-10-16,4801890.391081794
2018-10-17,3486158.6726700226
2018-10-18,2850297.1594704497
2018-10-22,4302982.185997092
2018-10-23,3492316.0461033667
2018-10-24,3400419.5753218736
2018-10-28,4414184.387142397
2018-10-29,3469248.659424323
2018-10-30,2980512.8562584626
2018-11-03,3858550.2774709687
2018-11-04,3727971.275075702
2018-11-05,4082408.0194825456
2018-11-09,4607242.185726015
2018-11-10,3842528.3348422516
2018-11-11,3762825.3617471186
2018-11-15,4282887.547174392
2018-11-16,3513901.591681382
2018-11-17,3370008.901387669
2018-11-21,3753306.6387623996
2018-11-22,3286952.72855609
2018-11-23,3616388.202263112
2018-11-27,4064376.5089676646
2018-11-28,2864490.9070830275
2018-11-29,3569655.0450537056
2018-12-03,4326474.192272605
2018-12-04,3317057.5547079444
2018-12-05,2651850.6970335804
2018-12-09,3277943.0288435305
2018-12-15,3734298.581393464
2018-12-16,3357875.7159156813
2018-12-17,3443180.730600367
2018-12-21,4039840.358182842
2018-12-22,3589875.7667378318
2018-12-23,3942300.2166687474
2018-12-27,3989323.7191687813
2018-12-28,3799404.4526238577
