date,value
2019-01-02,341790.21243094694
2019-01-22,10289962.195537277
2019-03-18,202824.75260602075
2019-03-28,11257387.83044681
2019-04-02,11281619.21970884
2019-04-12,422673.4720434997
2019-05-02,3020446.3514681687
2019-05-07,11141863.977032684
2019-06-01,991597.365237614
2019-06-06,421402.7369306276
2019-06-16,133718.3949983546
2019-06-21,7876876.253831347
2019-06-26,14190118.391534008
2019-07-01,21665417.740290996
2019-07-06,1446429.9749916573
2019-07-16,324616.33644774015
2019-07-21,784963.6048748193
2019-07-26,13243649.937186187
2019-07-31,889713.9320509147
2019-08-05,3989134.01466807
2019-08-10,51447887.84290335
2019-08-15,31537264.347640935
2019-08-25,3139956.345090488
2019-08-30,15615818.324442912
2019-09-04,1777422.2146006862
2019-09-09,11066184.441527806
2019-09-14,9670989.707181692
2019-09-19,44913637.311901785
2019-09-29,31105603.26126563
2019-10-09,29613081.55072153
2019-10-29,49330260.814083844
2019-11-08,47664635.71660471
2019-11-13,42815996.87835623
2019-11-23,1673431.5109178217
2019-12-03,10188114.471168062
2020-01-27,6460656.609341679
2020-03-02,972375.2604314013
2020-03-12,26571818.9185965
2020-04-06,21381485.692408174
2020-04-11,14910047.970920684
2020-04-16,3711856.5017484846
2020-04-26,177393.38761677672
2020-05-01,13284684.92271405
2020-05-06,3618306.9131122744
2020-05-11,432156.2840629418
2020-05-21,7244170.635180899
2020-05-26,5268697.768164394
2020-06-05,40376598.15915753
2020-06-15,13526786.311909351
2020-06-20,5274864.221509801
2020-07-05,2439017.4019471137
2020-07-20,692686.5859084849
2020-07-25,66847924.71274923
2020-08-04,59734446.18037275
2020-08-09,88428211.959356
2020-08-24,83172653.42330159
2020-08-29,80900344.53272036
2020-09-03,24874101.311941836
2020-09-08,5455122.69555399
2020-09-13,27190125.392416406
2020-09-18,87397976.35902746
2020-09-23,76944664.34598719
2020-10-03,28504584.72325326
2020-10-08,20941193.004256565
2020-10-13,60780555.45120872
2020-10-18,9643776.339732628
2021-01-31,33797219.47726772
2021-02-05,69195872.78467582
2021-04-01,5529736.378257478
2021-04-06,59427099.44455587
2021-04-16,40232786.67114285
2021-04-21,16045921.241211811
2021-05-16,1043737.1204783415
2021-05-21,409878.98763560626
2021-05-26,28167920.055356376
2021-06-05,5048841.337225519
2021-06-10,337337.1932345722
2021-06-20,7638419.899413673
2021-06-25,15194985.975518776
2021-07-05,7056743.913393188
2021-07-10,33091467.942053054
2021-07-20,6332261.3285939135
2021-07-25,76310157.46666257
2021-07-30,49091528.115725614
2021-08-04,3908268.6153515354
2021-08-09,48432689.7995707
2021-08-14,15738312.822111998
2021-08-19,30204846.611069467
2021-09-03,76108833.02984667
2021-09-13,60209633.26791514
2021-09-23,38753820.2117583
2021-09-28,5112367.357876766
2021-10-03,12456341.782894518
2021-10-13,20997103.720065635
2021-10-18,24731539.468902964
2021-10-28,12390760.839319602
2021-11-12,6385157.505245407
2021-11-17,36454732.55081436
2021-12-02,7195261.15312788
2021-12-12,1947177.473255923
2021-12-17,28005138.701755386
