date,value
2019-01-29,2593.0940570853586
2019-02-08,559016.9713063639
2019-02-18,537566.6644702225
2019-03-05,1.9214088469765733
2019-03-10,47666.082462271246
2019-03-15,4978386.100824047
2019-04-29,12486747.597821448
2019-05-04,20518070.671628114
2019-05-14,18323655.566800375
2019-05-19,2293166.762018864
2019-05-24,2313879.4215998044
2019-05-29,2350392.997399922
2019-06-03,975298.6788667929
2019-06-08,77970.93646854858
2019-06-18,3872.517858524891
2019-06-23,4443567.529074651
2019-06-28,19388029.828722227
2019-07-08,18481167.23686656
2019-07-18,313.5069669771419
2019-08-02,129050.30460041262
2019-08-12,1752972.4368178996
2019-08-17,1477094.3297637491
2019-08-22,1692588.4687297149
2019-08-27,7789637.193055855
2019-09-01,7782014.868456647
2019-09-06,7762217.556091431
2019-09-11,18821759.369036607
2019-09-16,19419490.37314002
2019-09-21,19333046.73568534
2019-09-26,20028349.02551622
2019-10-01,19537737.267825045
2019-10-06,19411622.397626795
2019-10-16,30847.495063864797
2019-10-21,30847.495063864797
2019-10-26,30847.495063864797
2019-10-31,16995151.50671774
2019-11-05,16999998.533292003
2019-11-10,16978193.37593823
2019-11-15,1997668.7180604995
2019-11-20,1390577.4569826403
2019-11-25,1121193.2215498681
2019-11-30,61071.982119553526
2019-12-05,61071.982119553526
2019-12-10,61071.982119553526
2019-12-15,58951.59460655729
2019-12-20,58951.59460655729
2019-12-25,766508.8054818249
2020-01-24,26371.71864185742
2020-01-29,26423.80527726913
2020-02-03,590481.6409605455
2020-02-08,1101040.9416437463
2020-03-24,2849.8028926452243
2020-03-29,8152.653790962837
2020-04-08,604.6419695918881
2020-04-13,495.0007520571638
2020-05-03,113476.87897522422
2020-05-08,168648.67340512658
2020-05-13,696527.7890797528
2020-05-18,173705.8651243572
2020-05-28,7470.3643530777435
2020-06-02,4320.291710654364
2020-06-22,22321917.569838442
2020-06-27,22321917.569838442
2020-07-02,22757482.108703613
2020-07-12,12574.974834761117
2020-07-17,10.582911599890698
2020-07-22,19918995.463249143
2020-07-27,19918995.463249143
2020-08-01,19900360.860956058
2020-08-06,484344.56938809756
2020-08-11,5321836.350771813
2020-08-16,12368022.52811254
2020-08-21,12370029.208560329
2020-08-26,2307209.720277849
2020-08-31,7372538.428244333
2020-09-05,19327815.085489593
2020-09-10,19275544.81316048
2020-09-15,19479874.424968682
2020-09-20,9989411.546736175
2020-09-25,8844852.555039935
2020-09-30,4203850.499415719
2020-10-05,4203850.499415719
2020-10-10,4203850.499415719
2020-10-20,4942226.346169403
2020-10-25,4942226.346169403
2020-10-30,7073658.240859612
2020-11-09,11728001.44863025
2020-11-14,12067228.618499182
2020-11-24,711531.3749209512
2020-11-29,17284979.342988275
2020-12-04,17284979.342988275
2020-12-09,17262957.829846103
2020-12-29,14957170.050069308
2021-01-03,14610.208153533464
2021-02-12,17.64310254946664
2021-03-04,6.255918058321263
2021-03-09,2712.900037137341
2021-03-14,209301.52186720853
2021-03-19,901955.297277738
2021-03-29,291337.78796015814
2021-04-08,1863.9850941333893
2021-04-18,19064.555235370568
2021-04-23,13221.76507035069
2021-04-28,35372.71856959284
2021-05-18,1799.8773025568423
2021-05-23,20776489.020727493
2021-06-02,20751924.908691715
2021-06-17,5715.394889751588
2021-06-22,217953.43636727508
2021-07-02,116345.8392356149
2021-07-07,23405.81799915751
2021-07-12,10262029.994646845
2021-07-17,10262029.994646845
2021-07-22,10579206.440653013
2021-07-27,1486772.373002456
2021-08-01,9591215.760189023
2021-08-06,16372009.68017783
2021-08-11,15508951.549330274
2021-08-16,15758005.427602602
2021-08-21,16350686.557183286
2021-08-26,18341399.064163677
2021-08-31,17637116.1196447
2021-09-05,17471603.95005097
2021-09-10,3341080.9003460384
2021-09-15,151201.1050355557
2021-09-20,19871098.834488004
2021-09-25,19635281.9400151
2021-09-30,19924321.53746828
2021-10-05,119896.04435705717
2021-10-10,54122.73968242216
2021-10-15,1230.3482538630817
2021-10-20,98963.54602872764
2021-10-25,99535.27989666992
2021-10-30,99535.27989666992
2021-11-04,24.39114465150927
2021-11-09,20.482532154466995
2021-11-14,20.482532154466995
2021-11-19,43070.19511443623
2021-11-24,755395.023732109
2021-11-29,755395.023732109
2021-12-04,370641.6303374359
2021-12-29,166775.06128719827
