date,value
2018-01-01,980904.2945969712
2018-01-06,988797.0026219445
2018-01-14,615.1217715916513
2018-01-16,966505.7050743832
2018-01-21,22103.944550711494
2018-01-24,950040.1328248577
2018-01-26,937127.8381498116
2018-01-31,923865.7919156512
2018-02-05,880392.2443903853
2018-02-08,922160.5395005204
2018-02-13,154420.209900379
2018-02-20,721803.0884744319
2018-02-23,568055.3000973611
2018-02-28,827639.1395952103
2018-03-02,145.70044317382013
2018-03-05,22442.516050397666
2018-03-07,840285.3500935748
2018-03-10,703134.770146635
2018-03-30,694445.4036743194
2018-04-01,634938.6833570612
2018-04-06,760558.6986549438
2018-04-09,68757.84981749488
2018-04-11,760950.6928753967
2018-04-16,708446.901298104
2018-04-21,3087.7927905493457
2018-04-24,655006.7032980843
2018-04-26,638567.2428271218
2018-04-29,2703.938524668736
2018-05-04,1015.2920459156287
2018-05-09,417.684556055693
2018-05-24,27322.356717570376
2018-05-26,623747.2447172849
2018-05-31,544107.1464548034
2018-06-03,576369.0100377039
2018-06-10,213076.16700842936
2018-06-20,585434.6429239518
2018-06-25,588236.4179209907
2018-06-28,451580.64020345965
2018-07-03,489115.72280504566
2018-07-05,540384.6262674634
2018-07-10,570128.8108582051
2018-07-13,495280.81888219743
2018-07-18,520275.60955429263
2018-07-20,534653.4746666423
2018-07-23,489115.72280504566
2018-07-25,540384.6262674634
2018-07-28,326248.87901812885
2018-07-30,509357.00143802905
2018-08-02,520275.60955429263
2018-08-04,501806.57867186854
2018-08-12,629151.6686589788
2018-08-14,612999.1747533466
2018-08-17,579151.89309678
2018-08-22,571859.2412457293
2018-08-27,591746.7996907852
2018-08-29,572205.6004817386
2018-09-01,586134.5422435735
2018-09-03,158167.03517877136
2018-09-11,502133.83975037676
2018-09-23,497234.65278518555
2018-10-01,574632.6637319431
2018-10-06,579848.5229180079
2018-10-08,510345.4465011253
2018-10-21,2176606.7762688184
2018-10-26,236624.54739872974
2018-11-05,2374620.6236997717
2018-11-15,46818.65326250527
2018-11-20,207.7139277668746
2018-11-27,2393285.1584028075
2018-12-17,560137.2456184215
2018-12-20,12346.108112847112
2018-12-22,2744130.514675742
2018-12-27,2677440.4396768035
2018-12-30,3269.5417673501215
2019-01-16,2690992.7932888945
2019-01-19,48942.5348520283
2019-01-29,2667971.4705183054
2019-01-31,2707974.989849018
2019-02-03,2581408.0422100364
2019-02-10,2998044.539388674
2019-02-20,3140241.68418582
2019-02-23,387147.4800597228
2019-02-25,1506342.361801369
2019-03-05,3132991.4898206233
2019-03-10,3161308.3739759466
2019-03-12,146659.96989044326
2019-03-17,3113452.315649824
2019-03-25,4772825.590455981
2019-03-30,4968532.635801895
2019-04-06,4347326.020355635
2019-04-11,4335637.395581654
2019-04-14,4266621.338214928
2019-04-16,4545563.035283675
2019-04-26,4731147.386596803
2019-04-29,4872446.611653152
2019-05-01,117548.54375069527
2019-05-09,4334803.016594047
2019-05-11,4356519.522052601
2019-05-16,21019.056100316437
2019-05-19,155.3714521900905
2019-05-24,4026033.41252494
2019-06-05,3846017.8292085575
2019-06-10,3390312.027785737
2019-06-13,640384.8878174421
2019-06-15,3123577.115310306
2019-06-18,2813606.2002080036
2019-06-23,2566104.5714423833
2019-06-25,3418860.837259273
2019-06-28,1990283.9565977163
2019-06-30,3285290.5445904955
2019-07-03,1831283.2647531915
2019-07-05,3030825.0303567485
2019-07-10,2897129.9589868374
2019-07-13,2904138.1136052865
2019-07-15,13.410947998668718
2019-07-20,2964003.918251122
2019-07-23,2822603.3530018646
2019-07-25,2820525.9802506785
2019-07-28,2904138.1136052865
2019-07-30,2812914.628063045
2019-08-02,2829532.7234447626
2019-08-04,2526368.5572153106
2019-08-07,2653795.330959348
2019-08-09,2511866.174783643
2019-08-12,2596750.9987337748
2019-08-14,2525708.5718334736
2019-08-17,2568098.4359646463
2019-08-19,986163.0491563003
2019-08-22,2432102.6556431586
2019-08-24,2380406.2764365906
2019-08-27,2341950.7822016566
2019-09-03,2274047.703204305
2019-09-06,2313287.7489653933
2019-09-08,33720.210332987604
2019-09-11,8081.59508669322
2019-09-13,2142695.007286741
2019-09-16,2304401.62518507
2019-09-23,2263339.2746625664
2019-09-26,133315.55112482284
2019-09-28,2163631.367302952
2019-10-01,2211372.3822119986
2019-10-11,48585.71597419113
2019-10-18,2113899.2049027975
2019-10-21,2026728.943715848
2019-10-31,7972.898121628698
2019-11-02,1947636.8248754358
2019-11-05,2087702.3880542817
2019-11-07,1986714.718772645
2019-11-20,1999219.21576544
2019-11-27,1828414.3441314818
2019-11-30,1024653.3964794247
2019-12-05,1929398.4720075817
2019-12-07,1927637.4242822903
2019-12-12,129656.6314629078
2019-12-22,1904223.5320608173
2019-12-25,2061043.2631870336
2020-01-06,2010562.1447267265
2020-01-14,1442089.9332563588
2020-01-19,1364878.9738914564
2020-01-29,1226615.4205128588
2020-02-05,22019.65094363601
2020-02-08,2059835.019810599
2020-02-10,1943511.976733549
2020-02-23,282805.3807121568
2020-02-25,1942923.0226372147
2020-02-28,1903639.7766884484
2020-03-01,1952355.5849074074
