date,value
2018-01-02,6402200
2018-01-03,4144400
2018-01-08,6537800
2018-01-09,6110000
2018-01-14,6585200
2018-01-15,6412800
2018-01-20,6700600
2018-01-21,5604300
2018-01-26,6659400
2018-01-27,6316200
2018-02-01,6794400
2018-02-02,6278400
2018-02-07,6752400
2018-02-08,6434200
2018-02-13,6826800
2018-02-14,6293000
2018-02-19,6723900
2018-02-20,5850400
2018-02-25,6701600
2018-02-26,6351000
2018-03-03,6808000
2018-03-04,6611500
2018-03-09,6835400
2018-03-10,6381700
2018-03-15,6817800
2018-03-16,6197900
2018-03-21,6931900
2018-03-22,6014400
2018-03-27,6763600
2018-03-28,5658300
2018-04-02,6888100
2018-04-03,6493800
2018-04-08,6819000
2018-04-09,6530600
2018-04-14,6834800
2018-04-15,6376800
2018-04-20,6781000
2018-04-21,6603400
2018-04-26,6842400
2018-04-27,5333400
2018-05-02,6843900
2018-05-03,6369600
2018-05-08,6750500
2018-05-09,6363200
2018-05-14,6851400
2018-05-15,6641900
2018-05-20,6800700
2018-05-21,5988100
2018-05-26,6754800
2018-05-27,6631300
2018-06-01,6683000
2018-06-02,6545500
2018-06-07,6774900
2018-06-08,6567000
2018-06-13,6900500
2018-06-14,6355500
2018-06-19,6789500
2018-06-20,5816400
2018-06-25,6806600
2018-06-26,6322200
2018-07-01,6739500
2018-07-02,5868800
2018-07-07,6825300
2018-07-08,5355900
2018-07-13,6678700
2018-07-19,6739700
2018-07-20,6400800
2018-07-25,6737800
2018-07-26,6222900
2018-07-31,6672600
2018-08-01,5978400
2018-08-06,6740800
2018-08-07,6331500
2018-08-12,6803200
2018-08-13,4443700
2018-08-18,6801000
2018-08-19,4736800
2018-08-24,6896000
2018-08-25,6208600
2018-08-30,6780800
2018-08-31,5944900
2018-09-05,6697600
2018-09-06,4725800
2018-09-11,6709700
2018-09-12,6104400
2018-09-17,6704200
2018-09-18,6129800
2018-09-23,6781700
2018-09-29,6744300
2018-09-30,5633200
2018-10-05,6726800
2018-10-06,5826900
2018-10-11,6738500
2018-10-12,6415400
2018-10-17,6749300
2018-10-18,6513400
2018-10-23,6829800
2018-10-24,5890000
2018-10-29,6872600
2018-10-30,6613400
2018-11-04,6856600
2018-11-05,6527300
2018-11-10,6787000
2018-11-11,6670900
2018-11-16,6814800
2018-11-17,6615600
2018-11-22,6815200
2018-11-23,6641000
2018-11-28,6822500
2018-11-29,6477200
2018-12-04,6875700
2018-12-05,6528100
2018-12-16,6810400
2018-12-17,6645400
2018-12-22,6880700
2018-12-23,6582100
2018-12-28,6741800
2018-12-29,6343100
2019-01-03,6937800
2019-01-04,6422300
2019-01-09,6860400
2019-01-10,5988300
2019-01-15,6849400
2019-01-16,6376300
2019-01-21,6819300
2019-01-22,6090400
2019-01-27,6931800
2019-01-28,5906500
2019-02-02,6833400
2019-02-03,6170900
2019-02-08,6896300
2019-02-09,6360000
2019-02-14,6840800
2019-02-15,6188600
2019-02-20,6855800
2019-02-21,6543100
2019-02-26,6803500
2019-02-27,6273400
2019-03-04,6850700
2019-03-05,5776900
2019-03-10,6790100
2019-03-11,5942100
2019-03-16,6811900
2019-03-17,5823900
2019-03-22,6791600
2019-03-23,3474800
2019-03-28,6839700
2019-03-29,5700400
2019-04-03,6769100
2019-04-04,6196400
2019-04-09,6794600
2019-04-10,4808300
2019-04-15,6837300
2019-04-16,6125500
2019-04-21,6778300
2019-04-22,6151400
2019-04-27,6848100
2019-04-28,5530600
2019-05-03,6794100
2019-05-04,6010100
2019-05-09,6775600
2019-05-10,5770500
2019-05-15,6866400
2019-05-16,5960500
2019-05-21,6823900
2019-05-22,5531200
2019-05-27,6865500
2019-05-28,6162000
2019-06-02,6759400
2019-06-03,6385000
2019-06-08,6838600
2019-06-09,5753800
2019-06-14,6792400
2019-06-15,5665400
2019-06-20,6780700
2019-06-21,5729500
2019-06-26,6659900
2019-06-27,5815500
2019-07-02,6754400
2019-07-03,5959600
2019-07-08,6662300
2019-07-09,6080500
2019-07-14,6756700
2019-07-15,5509400
2019-07-21,5818600
2019-07-26,6731900
2019-07-27,6169700
2019-08-01,6736000
2019-08-02,4242200
2019-08-07,6628900
2019-08-08,5951000
2019-08-13,6870900
2019-08-14,5502500
2019-08-19,6685700
2019-08-20,5481700
2019-08-25,6647500
2019-08-26,5673000
2019-08-31,6657600
2019-09-01,5899700
2019-09-06,6796600
2019-09-07,5221700
2019-09-12,6752900
2019-09-13,6078600
2019-09-18,6645000
2019-09-19,5857300
2019-09-24,6658000
2019-09-25,5702200
2019-09-30,6753800
2019-10-01,4947900
2019-10-06,6840000
2019-10-07,5050600
2019-10-12,6615200
2019-10-13,5139800
2019-10-18,6735100
2019-10-19,6294600
2019-10-24,6800000
2019-10-25,6106000
2019-10-30,6807800
2019-10-31,6140600
2019-11-05,6845200
2019-11-06,6469100
2019-11-11,6929800
2019-11-12,6427600
2019-11-17,6905500
2019-11-18,5931700
2019-11-23,6878800
2019-11-24,6172500
2019-11-29,6852500
2019-11-30,6341000
2019-12-05,6879500
2019-12-06,6451800
2019-12-11,6845700
2019-12-12,6595200
2019-12-17,6706800
2019-12-18,6028300
2019-12-23,6830200
2019-12-24,6086600
2019-12-29,6854500
2019-12-30,6567200
2020-01-04,6767000
2020-01-05,6566500
2020-01-10,6879300
2020-01-11,6511400
2020-01-16,6783500
2020-01-17,6568000
2020-01-22,6807200
2020-01-23,6254900
2020-01-28,6808900
2020-01-29,6630000
2020-02-03,6769500
2020-02-04,6058700
2020-02-09,6782100
2020-02-10,6003800
2020-02-15,6832800
2020-02-16,6479900
2020-02-21,6825300
2020-02-22,6306200
2020-02-27,6851100
2020-02-28,6576500
2020-03-04,6831700
2020-03-05,6440200
2020-03-10,6814600
2020-03-11,6298500
2020-03-16,6757900
2020-03-17,6555600
2020-03-22,6794300
2020-03-23,6529400
2020-03-28,6792100
2020-03-29,6374800
2020-04-03,6782000
2020-04-04,6057800
2020-04-09,6743900
2020-04-10,6350000
2020-04-15,6871900
2020-04-16,6085900
2020-04-21,6739200
2020-04-22,6405500
2020-04-27,6776100
2020-04-28,6408500
2020-05-03,6758700
2020-05-04,6461600
2020-05-09,6789500
2020-05-10,6539200
2020-05-15,6764200
2020-05-16,6535100
2020-05-21,6693700
2020-05-22,6373400
2020-05-27,6793700
2020-05-28,6546000
2020-06-02,6744900
2020-06-03,6444500
2020-06-08,6815900
2020-06-09,6217500
2020-06-14,6814400
2020-06-15,6327500
2020-06-20,6786000
2020-06-21,6175000
2020-06-26,6742000
2020-06-27,6219800
2020-07-02,6707300
2020-07-03,6281900
2020-07-08,6708500
2020-07-09,6360100
2020-07-14,6771300
2020-07-15,6400900
2020-07-20,6673600
2020-07-21,5913800
2020-07-26,6770100
2020-07-27,5255400
2020-08-01,6627200
2020-08-02,6373200
2020-08-07,6671500
2020-08-08,6277300
2020-08-13,6744900
2020-08-14,6368500
2020-08-19,6669900
2020-08-20,5938000
2020-08-25,6703700
2020-08-26,6050500
2020-08-31,6791700
2020-09-01,5824800
2020-09-06,6645000
2020-09-07,4312900
2020-09-12,6632700
2020-09-13,6141200
2020-09-18,6697300
2020-09-19,6464500
2020-09-24,6659100
2020-09-25,6076600
2020-09-30,6651800
2020-10-01,6328500
2020-10-06,6704400
2020-10-07,5830500
2020-10-12,6792700
2020-10-13,6302800
2020-10-18,6682800
2020-10-19,6221700
2020-10-24,6740200
2020-10-25,6435900
2020-10-30,6670900
2020-10-31,6180500
2020-11-05,6696200
2020-11-06,6250300
2020-11-11,6648500
