date,value
2018-02-15,6642257.956339139
2018-02-25,7258657.923753105
2018-02-27,7190876.764151565
2018-03-02,7571158.771756974
2018-03-09,7480909.904610216
2018-03-22,7347549.701731719
2018-04-01,7240944.9901332315
2018-04-21,7232096.7007342875
2018-04-23,7232096.7007342875
2018-04-24,7232096.7007342875
2018-04-26,7232096.7007342875
2018-05-11,7242912.0170039
2018-05-19,7242912.0170039
2018-05-21,7259642.615013218
2018-05-23,6835743.41170495
2018-06-20,7207546.722659518
2018-06-25,7560099.102136512
2018-06-28,7560099.102136512
2018-06-30,7693352.830612906
2018-07-02,7693352.830612906
2018-07-03,7693352.830612906
2018-07-07,7305999.025425913
2018-07-08,7305999.025425913
2018-07-10,7307974.936687663
2018-07-15,7119515.077111633
2018-07-18,7119515.077111633
2018-07-23,7109767.4314831905
2018-07-25,7305011.170757464
2018-07-27,7285268.2120140465
2018-07-30,7341606.621340406
2018-08-01,7341606.621340406
2018-08-02,7341606.621340406
2018-08-04,7245863.062088002
2018-08-06,7065986.301467735
2018-08-11,6935460.468223271
2018-08-12,6935460.468223271
2018-08-19,7046571.760862307
2018-08-21,7046571.760862307
2018-08-22,7046571.760862307
2018-08-27,7046571.760862307
2018-09-03,6079493.692084041
2018-09-05,6079493.692084041
2018-09-08,6434880.616250519
2018-09-10,6434880.616250519
2018-09-11,6434880.616250519
2018-09-16,6319572.456544244
2018-09-18,6319572.456544244
2018-09-23,5925599.015906713
2018-09-25,5925599.015906713
2018-09-26,5925599.015906713
2018-09-28,5946062.801318755
2018-09-30,5946062.801318755
2018-10-03,5833510.883535458
2018-10-05,5636768.525326609
2018-10-06,5636768.525326609
2018-10-13,5595236.968723352
2018-10-20,5430658.223092128
2018-10-23,5521213.284144007
2018-10-25,5145289.666612047
2018-10-30,5145289.666612047
2018-11-12,4638597.464311061
2018-11-15,4638597.464311061
2018-11-17,5390747.906064197
2018-11-22,5390747.906064197
2018-11-24,5055446.606345703
2018-11-25,5055446.606345703
2018-11-27,5176798.575300933
2019-02-15,6277403.486752319
2019-02-17,6277403.486752319
2019-02-18,6277403.486752319
2019-02-20,6324164.612219382
2019-02-22,6324164.612219382
2019-02-23,6324164.612219382
2019-02-25,6208954.77957331
2019-02-27,6330596.4539446
2019-03-07,6200766.345717763
2019-03-22,6040833.62545242
2019-03-24,6040833.62545242
2019-03-25,6040833.62545242
2019-03-27,6188039.604746235
2019-03-29,6188039.604746235
2019-03-30,6188039.604746235
2019-04-01,6188039.604746235
2019-05-01,5812362.984086909
2019-05-06,5904283.400803053
2019-05-11,5904283.400803053
2019-05-16,6157186.6575197475
2019-05-23,6037243.657912044
2019-07-05,6332434.728107854
2019-07-08,6332434.728107854
2019-07-10,6352673.493678446
2019-07-12,6352673.493678446
2019-07-13,6352673.493678446
2019-07-15,6188039.604746235
2019-07-17,6254545.234534455
2019-07-22,6068692.335076025
2019-07-23,6068692.335076025
2019-07-25,6102027.604978335
2019-07-28,5087500.669556348
2019-08-02,5087500.669556348
2019-08-04,5087500.669556348
2019-08-09,3622916.6156458533
2019-08-14,3093158.7940986133
2019-08-16,3098927.3224560204
2019-08-17,3098927.3224560204
2019-08-21,2863159.364053649
2019-08-22,2863159.364053649
2019-08-24,2863159.364053649
2019-08-26,2286964.8701436915
2019-08-31,2286964.8701436915
2019-09-03,2286964.8701436915
2019-09-13,967325.542434707
2019-09-15,967325.542434707
2019-09-16,967325.542434707
2019-09-20,967325.542434707
2019-09-21,967325.542434707
2019-10-08,815828.4550062135
2019-10-11,815828.4550062135
2019-10-13,869046.203240138
2019-10-15,869046.203240138
2020-02-05,5604740.947928981
2020-02-07,5604740.947928981
2020-02-08,5604740.947928981
2020-02-15,5604740.947928981
2020-02-20,5712438.949510526
2020-02-22,5712438.949510526
2020-03-21,7105870.257468353
2020-03-24,6977867.515997224
2020-03-26,6994286.943715711
2020-03-28,6994286.943715711
2020-03-29,6994286.943715711
2020-03-31,6994286.943715711
2020-04-03,6467355.171885066
2020-04-05,6817604.48399254
2020-04-08,6817604.48399254
2020-04-10,7027184.135996571
2020-04-12,7027184.135996571
2020-04-15,6966289.039201568
2020-05-05,6921994.63305456
2020-05-07,6921994.63305456
2020-05-08,6921994.63305456
2020-05-20,7386238.790556913
2020-05-22,7386238.790556913
2020-05-25,7509930.5475824205
2020-07-09,7713645.135191065
2020-07-11,7713645.135191065
2020-07-12,7713645.135191065
2020-07-14,7713645.135191065
2020-07-19,7778761.51351827
2020-07-21,7055304.973277517
2020-07-22,7055304.973277517
2020-07-24,7144890.4498604275
2020-07-27,7144890.4498604275
2020-07-29,7144890.4498604275
2020-07-31,6656389.48155701
2020-08-03,6666762.218153867
2020-08-08,5641103.629370651
2020-08-10,5641103.629370651
2020-08-15,5540961.655142039
2020-09-02,2797001.247894197
2020-09-04,2797001.247894197
2020-09-05,2797001.247894197
