date,value
2019-06-11,257859.50772630694
2019-06-21,235899.4515935272
2019-07-26,366117.53806053405
2019-08-10,270161.54481930466
2019-09-29,273502.0610340501
2019-10-29,409335.0074849724
2019-11-08,394182.2858479207
2020-07-05,89352.01689610982
2020-07-25,276534.72554375394
2020-07-30,194755.2972192027
2020-08-04,325681.04992274166
2020-08-29,152099.94571500906
2020-09-13,385699.5193208971
2020-09-18,238957.77620764315
2020-09-23,304919.19076260144
2021-02-05,217197.45234924165
2021-06-10,718.0793719882353
2021-06-20,292330.47216954996
2021-07-25,277174.4227674818
2021-07-30,331059.77024115296
2021-08-09,240491.23967495692
2021-08-14,322499.62379110523
2021-08-19,265568.1989567431
2021-08-29,265410.21800917934
2021-09-03,247427.0749770708
2021-10-18,317827.85437625356
