date,value
2019-01-04,7348233.32991022
2019-01-09,7348233.32991022
2019-01-24,1453.9324017259376
2019-01-29,1307316.445309758
2019-02-08,32167185.545707487
2019-02-18,33201393.537442826
2019-03-05,1335290.3354529894
2019-03-10,3226335.0928824972
2019-03-15,5648392.328792307
2019-03-30,285584.3731042359
2019-04-09,470038.3266999002
2019-04-29,9964313.783952089
2019-05-04,187920978.84801093
2019-05-14,186002125.38276815
2019-05-19,4250524.260612317
2019-05-24,22226306.499233987
2019-05-29,20299661.94797468
2019-06-03,153858088.40252748
2019-06-08,137585483.71994084
2019-06-18,524395.3822782589
2019-06-23,204700035.7836251
2019-06-28,214910394.76018468
2019-07-08,189873146.6141405
2019-07-18,210708188.2752648
2019-07-23,210854989.41451237
2019-07-28,210786405.11211744
2019-08-02,6069769.494003106
2019-08-12,78796017.90735047
2019-08-17,75361815.31081477
2019-08-22,134334796.17008755
2019-08-27,205483369.37324172
2019-09-01,204339515.80081794
2019-09-06,202550637.6333714
2019-09-11,202221262.78856274
2019-09-16,206656619.17776296
2019-09-21,206123726.5530728
2019-09-26,201424596.85075212
2019-10-01,118573341.3453046
2019-10-06,91409303.77313869
2019-10-11,1255550.412014793
2019-10-16,4450857.422817675
2019-10-21,26796174.92291026
2019-10-26,38792693.83161909
2019-10-31,40777546.437994644
2019-11-05,26173881.041274827
2019-11-10,20342377.68810254
2019-11-15,21271388.14247466
2019-11-20,16371136.853504617
2019-11-25,18757225.223869435
2019-11-30,4906473.000124101
2019-12-05,18729876.360719472
2019-12-10,14009078.69113677
2019-12-15,28049349.888553757
2019-12-20,21062747.719568625
2019-12-25,25239140.73427466
2020-01-24,3087143.53744322
2020-01-29,6594999.796777037
2020-02-03,13064445.176532565
2020-02-08,42598540.104227595
2020-03-19,6848563.431792161
2020-03-24,19752479.607970152
2020-03-29,149879272.49632132
2020-04-08,133832849.92425437
2020-04-13,21782564.3982406
2020-04-28,139108.79488529035
2020-05-03,37061775.9092005
2020-05-08,63126097.593649715
2020-05-13,75690826.09771523
2020-05-18,41981339.02588403
2020-05-28,27259301.291659437
2020-06-02,11853316.550392568
2020-06-12,9200946.798211642
2020-06-17,5386990.411770345
2020-06-22,182655958.32336512
2020-06-27,188752586.97044343
2020-07-02,187374599.84615403
2020-07-12,10899160.090009894
2020-07-17,162670048.91928488
2020-07-22,257507757.7199684
2020-07-27,257572193.73473555
2020-08-01,255854800.56643897
2020-08-06,250866500.51943615
2020-08-11,250445166.89605033
2020-08-16,250159441.61067337
2020-08-21,218714691.53496438
2020-08-26,205401798.22132272
2020-08-31,206334899.51206127
2020-09-05,250054211.0233499
2020-09-10,248850669.0116787
2020-09-15,244338122.78071806
2020-09-20,109385862.64048992
2020-09-25,90883380.38148946
2020-09-30,153116598.19347942
2020-10-05,162946074.6008501
2020-10-10,168368733.36172515
2020-10-15,61869126.95637579
2020-10-20,74865104.27033707
2020-10-25,56433632.36847657
2020-10-30,49114847.67968426
2020-11-09,34482312.37818857
2020-11-14,59075510.20422361
2020-11-24,22889615.882784065
2020-11-29,182360500.92535537
2020-12-04,183409633.8127917
2020-12-09,191435804.3782616
2020-12-29,5310645.142311278
2021-01-03,1677400.3827157803
2021-02-07,4706395.5731083015
2021-02-12,48626452.227778755
2021-03-04,4671184.526126512
2021-03-09,4671184.526126512
2021-03-14,31905136.22208493
2021-03-19,47454137.15507423
2021-03-29,19843276.363959566
2021-04-03,1671307.492008746
2021-04-08,19229667.468671903
2021-04-18,21206619.353622697
2021-04-23,3343340.4814640777
2021-04-28,6630306.343250883
2021-05-18,1683129.2249360837
2021-05-23,132564651.60767274
2021-06-02,135762841.6595861
2021-06-07,114744970.65267567
2021-06-12,126600630.09096897
2021-06-17,132478379.43338795
2021-06-22,50873181.20575874
2021-07-02,104242219.760771
2021-07-07,123169404.62149374
2021-07-12,140417959.41721016
2021-07-17,55595166.42271339
2021-07-22,114202050.0353022
2021-07-27,154846732.47659704
2021-08-01,187132669.69720176
2021-08-06,190567184.50798962
2021-08-11,190091063.55066657
2021-08-16,170706596.3010747
2021-08-21,164040761.19212946
2021-08-26,190528255.79362783
2021-08-31,189192490.95592618
2021-09-05,187438663.48366162
2021-09-10,98030408.59258859
2021-09-15,4511583.604563126
2021-09-20,87910808.2263628
2021-09-25,95991862.38987897
2021-09-30,110609782.30503845
2021-10-05,38722640.90787473
2021-10-10,27046399.476996936
2021-10-15,32457193.997272216
2021-10-20,32216368.04718842
2021-10-25,37482267.00108621
2021-10-30,25078250.489892486
2021-11-04,13609040.566089228
2021-11-09,40414318.40661082
2021-11-14,37181912.62023844
2021-11-19,46420666.45989257
2021-11-24,24816903.700923733
2021-11-29,40241446.7678388
2021-12-04,24313838.727429274
2021-12-09,17780323.437698264
2021-12-14,5157975.840346232
2021-12-19,4689857.286534026
2021-12-29,2616031.288809616
